product_name,manufacturer,chipset_maker,model_name,distributor
MSI 지포스 RTX 5090 슈프림 SOC D7 32GB 하이퍼프로져,MSI,NVIDIA,RTX 5090 슈프림 SOC,하이퍼프로져
ASUS ROG Astral 지포스 RTX 5090 BTF OC D7 32GB 대원씨티에스,ASUS,NVIDIA,ROG Astral RTX 5090 BTF OC,대원씨티에스
GIGABYTE AORUS 지포스 RTX 5090 MASTER D7 32GB 제이씨현,GIGABYTE,NVIDIA,AORUS RTX 5090 MASTER,제이씨현
ASUS ROG Astral 지포스 RTX 5090 OC D7 32GB 대원씨티에스,ASUS,NVIDIA,ROG Astral RTX 5090 OC,대원씨티에스
GIGABYTE AORUS 지포스 RTX 5090 MASTER ICE D7 32GB 피씨디렉트,GIGABYTE,NVIDIA,AORUS RTX 5090 MASTER ICE,피씨디렉트
GIGABYTE AORUS 지포스 RTX 5090 STEALTH ICE D7 32GB 피씨디렉트,GIGABYTE,NVIDIA,AORUS RTX 5090 STEALTH ICE,피씨디렉트
MSI 지포스 RTX 5080 뱅가드 SOC D7 16GB 하이퍼프로져,MSI,NVIDIA,RTX 5080 뱅가드 SOC,하이퍼프로져
PALIT 지포스 RTX 5080 GAMINGPRO D7 16GB 이엠텍,PALIT,NVIDIA,RTX 5080 GAMINGPRO,이엠텍
GIGABYTE 지포스 RTX 5080 GAMING OC D7 16GB 제이씨현,GIGABYTE,NVIDIA,RTX 5080 GAMING OC,제이씨현
GIGABYTE AORUS 지포스 RTX 5080 MASTER ICE D7 16GB 피씨디렉트,GIGABYTE,NVIDIA,AORUS RTX 5080 MASTER ICE,피씨디렉트
GIGABYTE AORUS 지포스 RTX 5080 MASTER D7 16GB 제이씨현,GIGABYTE,NVIDIA,AORUS RTX 5080 MASTER,제이씨현
GIGABYTE AORUS 지포스 RTX 5080 MASTER ICE D7 16GB 제이씨현,GIGABYTE,NVIDIA,AORUS RTX 5080 MASTER ICE,제이씨현
MSI 지포스 RTX 5070 Ti 게이밍 트리오 OC D7 16GB 트라이프로져4,MSI,NVIDIA,RTX 5070 Ti 게이밍 트리오 OC,트라이프로져4
PALIT 지포스 RTX 5070 Ti GAMINGPRO-S D7 16GB 이엠텍,PALIT,NVIDIA,RTX 5070 Ti GAMINGPRO-S,이엠텍
ZOTAC GAMING 지포스 RTX 5070 Ti SOLID OC D7 16GB,ZOTAC GAMING,NVIDIA,RTX 5070 Ti SOLID OC,
GIGABYTE 지포스 RTX 5070 Ti GAMING OC D7 16GB 제이씨현,GIGABYTE,NVIDIA,RTX 5070 Ti GAMING OC,제이씨현
갤럭시 GALAX 지포스 RTX 5070 Ti BLACK 2X OC D7 16GB,GALAX,NVIDIA,RTX 5070 Ti BLACK 2X OC,
GIGABYTE 지포스 RTX 5070 Ti WINDFORCE OC V2 D7 16GB 제이씨현,GIGABYTE,NVIDIA,RTX 5070 Ti WINDFORCE OC V2,제이씨현
MSI 지포스 RTX 5070 게이밍 트리오 OC D7 12GB 트라이프로져4,MSI,NVIDIA,RTX 5070 게이밍 트리오 OC,트라이프로져4
ZOTAC GAMING 지포스 RTX 5070 SOLID OC D7 12GB,ZOTAC GAMING,NVIDIA,RTX 5070 SOLID OC,
PALIT 지포스 RTX 5060 Ti DUAL D7 8GB 이엠텍,PALIT,NVIDIA,RTX 5060 Ti DUAL,이엠텍
ZOTAC GAMING 지포스 RTX 5060 Ti Twin Edge OC D7 8GB,ZOTAC GAMING,NVIDIA,RTX 5060 Ti Twin Edge OC,
PALIT 지포스 RTX 5060 Ti INFINITY 3 D7 16GB 이엠텍,PALIT,NVIDIA,RTX 5060 Ti INFINITY 3,이엠텍
MSI 지포스 RTX 5060 Ti 벤투스 2X OC 플러스 D7 16GB,MSI,NVIDIA,RTX 5060 Ti 벤투스 2X OC 플러스,
GIGABYTE 지포스 RTX 5060 Ti WINDFORCE MAX OC D7 8GB 피씨디렉트,GIGABYTE,NVIDIA,RTX 5060 Ti WINDFORCE MAX OC,피씨디렉트
COLORFUL 지포스 RTX 5060 Ti GAMING DUO D7 8GB 피씨디렉트,COLORFUL,NVIDIA,RTX 5060 Ti GAMING DUO,피씨디렉트
갤럭시 GALAX 지포스 RTX 4060 Ti WHITE OC V2 D6 8GB,GALAX,NVIDIA,RTX 4060 Ti WHITE OC V2,
MSI 지포스 RTX 4060 벤투스 2X 블랙 OC D6 8GB,MSI,NVIDIA,RTX 4060 벤투스 2X 블랙 OC,
ZOTAC GAMING 지포스 RTX 4060 TWIN Edge OC D6 8GB,ZOTAC GAMING,NVIDIA,RTX 4060 TWIN Edge OC,
MSI 지포스 RTX 4060 Ti 벤투스 2X 블랙 OC D6 8GB,MSI,NVIDIA,RTX 4060 Ti 벤투스 2X 블랙 OC,
갤럭시 GALAX 지포스 RTX 4060 2X OC V2 D6 8GB,GALAX,NVIDIA,RTX 4060 2X OC V2,
이엠텍 지포스 RTX 4060 Ti STORM X Dual OC D6 8GB,이엠텍,NVIDIA,RTX 4060 Ti STORM X Dual OC,
ZOTAC GAMING 지포스 RTX 4060 Ti TWIN Edge D6 8GB,ZOTAC GAMING,NVIDIA,RTX 4060 Ti TWIN Edge,
GIGABYTE 지포스 RTX 4060 Ti WINDFORCE OC D6 8GB 피씨디렉트,GIGABYTE,NVIDIA,RTX 4060 Ti WINDFORCE OC,피씨디렉트
MANLI 지포스 RTX 4060 Ti Polar Fox D6 8GB TWIN FAN White 대원씨티에스,MANLI,NVIDIA,RTX 4060 Ti Polar Fox TWIN FAN White,대원씨티에스
ASRock 라데온 RX 9070 XT CHALLENGER D6 16GB 대원씨티에스,ASRock,AMD,RX 9070 XT CHALLENGER,대원씨티에스
ASUS PRIME 라데온 RX 9070 XT OC D6 16GB 대원씨티에스,ASUS,AMD,PRIME RX 9070 XT OC,대원씨티에스
GIGABYTE 라데온 RX 9070 XT GAMING OC D6 16GB 피씨디렉트,GIGABYTE,AMD,RX 9070 XT GAMING OC,피씨디렉트
ASUS PRIME 라데온 RX 9070 XT WHITE OC D6 16GB 대원씨티에스,ASUS,AMD,PRIME RX 9070 XT WHITE OC,대원씨티에스
SAPPHIRE 라데온 RX 9070 XT NITRO+ OC D6 16GB,SAPPHIRE,AMD,RX 9070 XT NITRO+ OC,
SAPPHIRE 라데온 RX 9070 XT PULSE D6 16GB,SAPPHIRE,AMD,RX 9070 XT PULSE,
SAPPHIRE 라데온 RX 7800 XT PURE OC D6 16GB,SAPPHIRE,AMD,RX 7800 XT PURE OC,
SAPPHIRE 라데온 RX 7800 XT PULSE D6 16GB,SAPPHIRE,AMD,RX 7800 XT PULSE,
ASRock 라데온 RX 7600 CHALLENGER OC D6 8GB 대원씨티에스,ASRock,AMD,RX 7600 CHALLENGER OC,대원씨티에스
GIGABYTE 라데온 RX 7600 GAMING OC D6 8GB 제이씨현,GIGABYTE,AMD,RX 7600 GAMING OC,제이씨현
SAPPHIRE 라데온 RX 7600 PULSE OC D6 8GB,SAPPHIRE,AMD,RX 7600 PULSE OC,
XFX 라데온 RX 7600 SWFT 210 CORE D6 8GB,XFX,AMD,RX 7600 SWFT 210 CORE,
ASUS DUAL 라데온 RX 7600 O8G EVO OC D6 8GB,ASUS,AMD,DUAL RX 7600 O8G EVO OC,
AOOSTAR XG76XT 라데온 RX 7600 XT D6 8GB (해외구매),AOOSTAR,AMD,XG76XT RX 7600 XT,
GPD G1 라데온 RX 7600M XT D6 8GB (해외구매),GPD,AMD,G1 RX 7600M XT,
