product_name,manufacturer,chipset_maker,model_name,distributor,site
MSI 지포스 RTX 5090 슈프림 SOC D7 32GB 하이퍼프로져,MSI,NVIDIA,RTX 5090 슈프림 SOC,하이퍼프로져,danawa
ASUS ROG Astral 지포스 RTX 5090 BTF OC D7 32GB 대원씨티에스,ASUS,NVIDIA,ROG Astral RTX 5090 BTF OC,대원씨티에스,danawa
GIGABYTE AORUS 지포스 RTX 5090 MASTER D7 32GB 제이씨현,GIGABYTE,NVIDIA,AORUS RTX 5090 MASTER,제이씨현,danawa
ASUS ROG Astral 지포스 RTX 5090 OC D7 32GB 대원씨티에스,ASUS,NVIDIA,ROG Astral RTX 5090 OC,대원씨티에스,danawa
MSI 지포스 RTX 5080 뱅가드 SOC D7 16GB 하이퍼프로져,MSI,NVIDIA,RTX 5080 뱅가드 SOC,하이퍼프로져,danawa
PALIT 지포스 RTX 5080 GAMINGPRO D7 16GB 이엠텍,PALIT,NVIDIA,RTX 5080 GAMINGPRO,이엠텍,danawa
GIGABYTE 지포스 RTX 5080 GAMING OC D7 16GB 제이씨현,GIGABYTE,NVIDIA,RTX 5080 GAMING OC,제이씨현,danawa
GIGABYTE AORUS 지포스 RTX 5080 MASTER ICE D7 16GB 피씨디렉트,GIGABYTE,NVIDIA,AORUS RTX 5080 MASTER ICE,피씨디렉트,danawa
MSI 지포스 RTX 5070 Ti 게이밍 트리오 OC D7 16GB 트라이프로져4,MSI,NVIDIA,RTX 5070 Ti 게이밍 트리오 OC,트라이프로져4,danawa
PALIT 지포스 RTX 5070 Ti GAMINGPRO-S D7 16GB 이엠텍,PALIT,NVIDIA,RTX 5070 Ti GAMINGPRO-S,이엠텍,danawa
ZOTAC GAMING 지포스 RTX 5070 Ti SOLID OC D7 16GB,ZOTAC GAMING,NVIDIA,RTX 5070 Ti SOLID OC,,danawa
GIGABYTE 지포스 RTX 5070 Ti GAMING OC D7 16GB 제이씨현,GIGABYTE,NVIDIA,RTX 5070 Ti GAMING OC,제이씨현,danawa
MSI 지포스 RTX 5070 게이밍 트리오 OC D7 12GB 트라이프로져4,MSI,NVIDIA,RTX 5070 게이밍 트리오 OC,트라이프로져4,danawa
ZOTAC GAMING 지포스 RTX 5070 SOLID OC D7 12GB,ZOTAC GAMING,NVIDIA,RTX 5070 SOLID OC,,danawa
